vintage,n,defaults,default_rate,gini
60.0,13686,615,0.04493643138974134,0.36124281830378546
61.0,15568,807,0.05183710174717369,0.3322589660100166
62.0,17164,895,0.05214402237240737,0.39635327975781465
63.0,14337,589,0.04108251377554579,0.39440328533046687
64.0,10268,322,0.03135956369302688,0.37987055565894345
65.0,4258,96,0.02254579614842649,0.346145182604517
66.0,2278,52,0.0228270412642669,0.36973011265464106
67.0,1434,30,0.02092050209205021,0.37735042735042734
68.0,825,21,0.025454545454545455,0.39795072257758823
69.0,1582,35,0.022123893805309734,0.3980792316926771
70.0,3808,82,0.02153361344537815,0.561122893837634
71.0,7921,176,0.02221941674031057,0.47092185574270795
72.0,8858,207,0.02336870625423346,0.4673347640132077
73.0,8687,189,0.021756647864625302,0.4137954651016549
74.0,11280,303,0.026861702127659575,0.4627674847287955
75.0,13656,290,0.02123608670181605,0.44525326742584115
76.0,10261,255,0.024851379007893967,0.4310272659933452
77.0,7754,197,0.025406241939644053,0.4692412117987894
78.0,8755,195,0.02227298686464877,0.44276060388209926
79.0,5158,112,0.021713842574641335,0.44595613215559715
80.0,6246,120,0.01921229586935639,0.36047312003482435
81.0,6743,188,0.02788076523802462,0.3514987746888034
82.0,5423,122,0.022496773003872397,0.41502995104542606
83.0,7295,156,0.021384509938313912,0.4122946904148752
84.0,9721,216,0.022219936220553443,0.4252922438482669
85.0,16239,308,0.018966685140710635,0.41961906337965593
86.0,15630,277,0.017722328854766475,0.49056981772633024
87.0,17886,329,0.018394274851839428,0.459083249989223
88.0,14234,265,0.018617394969790643,0.41439791884185606
89.0,13600,309,0.022720588235294117,0.4508077709835523
90.0,12103,330,0.027265967115591174,0.46550350184937805
91.0,12674,288,0.02272368628688654,0.46813438559664133
