vintage,n,defaults,default_rate,gini
60.0,13686,615,0.04493643138974134,0.31050939428375224
61.0,15568,807,0.05183710174717369,0.30789631440296095
62.0,17164,895,0.05214402237240737,0.36383319408918013
63.0,14337,589,0.04108251377554579,0.35990491964751903
64.0,10268,322,0.03135956369302688,0.363564490484642
65.0,4258,96,0.02254579614842649,0.25935547813551185
66.0,2278,52,0.0228270412642669,0.32691443776349427
67.0,1434,30,0.02092050209205021,0.35619658119658126
68.0,825,21,0.025454545454545455,0.39806917791992413
69.0,1582,35,0.022123893805309734,0.3618247298919568
70.0,3808,82,0.02153361344537815,0.5565767251875418
71.0,7921,176,0.02221941674031057,0.4370590997124244
72.0,8858,207,0.02336870625423346,0.44294284484159485
73.0,8687,189,0.021756647864625302,0.4061385125164838
74.0,11280,303,0.026861702127659575,0.4487946744934128
75.0,13656,290,0.02123608670181605,0.42245481329363743
76.0,10261,255,0.024851379007893967,0.4196423322477103
77.0,7754,197,0.025406241939644053,0.4512668188770421
78.0,8755,195,0.02227298686464877,0.42638689192427504
79.0,5158,112,0.021713842574641335,0.41753722892248457
80.0,6246,120,0.01921229586935639,0.3587835999564697
81.0,6743,188,0.02788076523802462,0.3188113669928754
82.0,5423,122,0.022496773003872397,0.4180838134468907
83.0,7295,156,0.021384509938313912,0.39538953599046045
84.0,9721,216,0.022219936220553443,0.41063134412687274
85.0,16239,308,0.018966685140710635,0.4020416373532938
86.0,15630,277,0.017722328854766475,0.49103704140890403
87.0,17886,329,0.018394274851839428,0.459807075624977
88.0,14234,265,0.018617394969790643,0.4026492624504123
89.0,13600,309,0.022720588235294117,0.44904732720562546
90.0,12103,330,0.027265967115591174,0.46783472197555276
91.0,12674,288,0.02272368628688654,0.4451937783698441
